Comment,Compound,Positive,Negative,Neutral,Timestamp
"Under this new administration, America can be, and likely will be, a phoenix rising from ashes.",0.0,0.0,0.0,1.0,2024-11-14_16-37-07
If they use Palantir AIP to dig out all the government waste the heads of Americans will be spinning in no time. The government already uses Palantir for the military so why not for finding government waste?,-0.7783,0.0,0.187,0.813,2024-11-14_16-37-07
lets do 4 trillion,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Elon Musk is looking (and acting) more and more like Professor Hubert J. Farnsworth every day,0.469,0.169,0.0,0.831,2024-11-14_16-37-07
Love that Trump put Elon and his son in the family photo. ❤,0.8555,0.412,0.0,0.588,2024-11-14_16-37-07
"Viewing this from out of the US, I'm sorry, but this looks like a Govt. of clowns by the way they speak and behave. Taking $2 trillion out of an economy looks like its going to make a lot of people unemployed and decrease Govt. revenue and with further tax cuts will increase Govt. debt. Extra tariffs will increase inflation. Large-scale deportation of immigrants will increase labor costs and thereby increase consumer prices and inflation. Elon Musk paid $US44 billion for Twitter and then fired half of the employers X, as it is now called, is now worth half that and a forum for trolls and information.  Anyway, time will tell what effects the policies will have.",0.8201,0.149,0.087,0.764,2024-11-14_16-37-07
Trump to Elon in family photo: You're like the son I never had,0.3612,0.172,0.0,0.828,2024-11-14_16-37-07
Elon Musk paid more taxes than all illegal immigrantsin USA….he deserves a high position,-0.5574,0.0,0.217,0.783,2024-11-14_16-37-07
This is extremely interesting,0.4576,0.499,0.0,0.501,2024-11-14_16-37-07
"Close the departments first, fight the lawsuits later",-0.4939,0.0,0.412,0.588,2024-11-14_16-37-07
"Everything is to EXPENSIVE.
Phone, Internet, School Tuition, 'RENT', 'FOOD', CLOTHS, 'GAS'
FURNITURE,ETC ETC EVEN SALT IS AT $3.00 NOW SMH. (HELP THE PEOPLE HELP US ALL)",0.5904,0.203,0.089,0.708,2024-11-14_16-37-07
I love this,0.6369,0.677,0.0,0.323,2024-11-14_16-37-07
Stop this bull shit,-0.7003,0.0,0.744,0.256,2024-11-14_16-37-07
"This is awesome, The planet is healing.",0.6249,0.406,0.0,0.594,2024-11-14_16-37-07
ITS ABOUT GODDAMN TIME!!!!,-0.6449,0.0,0.587,0.413,2024-11-14_16-37-07
best news i ever heard,0.6369,0.512,0.0,0.488,2024-11-14_16-37-07
the crash will be insane,-0.6597,0.0,0.643,0.357,2024-11-14_16-37-07
"they should also dismantle/ reform the atfE, firearms has nothing to do with alcohol and tobacco, they should rater reform an agency named ""DATPC"" or ""CATPAD"" cannabis, alcohol, tobacco, psilocybin and DMT administration.. can also be named PACT if you don't ad DMT to the legal side.. 
firearms and explosives + W- ""weapons"" (FEW) should be its own small and efficient admin, an admin that only accepts resumes from ppl with special licenses tied to it.",0.6597,0.112,0.035,0.853,2024-11-14_16-37-07
George Soros better run and hide.  😂,0.6249,0.387,0.208,0.405,2024-11-14_16-37-07
🇦🇺🇺🇸,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
This is gonna be awesome,0.6249,0.506,0.0,0.494,2024-11-14_16-37-07
All these political comments! Haven’t seen one word about the good news of Jesus Christ! Don’t you know that he is coming?,0.5399,0.142,0.0,0.858,2024-11-14_16-37-07
Just outstanding. God bless the USA,0.836,0.748,0.0,0.252,2024-11-14_16-37-07
Deep Staters are SCARED,-0.5622,0.0,0.548,0.452,2024-11-14_16-37-07
The greatest president of all American history,0.6369,0.412,0.0,0.588,2024-11-14_16-37-07
"Can we get some DOGE in Canada please? Elon, send help!",0.6476,0.37,0.0,0.63,2024-11-14_16-37-07
Looks all white too me,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
There will be NO debt when Trump takes office. NONE,0.0969,0.178,0.146,0.676,2024-11-14_16-37-07
SpaceX failed promises are a waste.,-0.5423,0.222,0.521,0.256,2024-11-14_16-37-07
Elon’s mom is from Saskatchewan and Elon is a great statesman.  Come on back to Canada as there is more waste than real spending !,0.318,0.144,0.101,0.754,2024-11-14_16-37-07
Sure I trust billionaires when it comes to money😂😂😂😂,0.9451,0.439,0.16,0.401,2024-11-14_16-37-07
"No way they named the department DOGE, that's hilarious",0.128,0.227,0.185,0.588,2024-11-14_16-37-07
Tony Stark,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Most of the places can be run by 20% off the work force. businesses should start to do that like Elon twitter company,0.3612,0.102,0.0,0.898,2024-11-14_16-37-07
Doge... Elon 100% wanted that name haha,0.4588,0.333,0.0,0.667,2024-11-14_16-37-07
AWESOME,0.6249,1.0,0.0,0.0,2024-11-14_16-37-07
"The first thing Obama did after becoming President  was brag very soon about creating a million new jobs .  He did that he admitted on stage live in front of Americans on TV by hiring one million federal workers.  That's a verified fact.  Look it up.

That the exact opposite of what Trump meant eight years ago when he said 'drain the swamp'.  Unfortunately Democrats fought that for self centered reasons of power, control and greed.

Trump is now once more trying it again.  Trying to reduce government size, regulations, control, waste, taxes, greed and career politicians.  Now Trump is adding Elon and Vivek to his team because he knows they know how to cut waste and improve production and efficiency and effectiveness.  God bless Trump, Elon and Vivek for America's sake, health and prosperity.  

I personally wish those too dumb or insane or greedy working against them and American democracy to fall off a cliff or drown in their own swamp. The sooner the better.  It's kharma.  Or let  God judge them.  👍💯",-0.8375,0.105,0.143,0.752,2024-11-14_16-37-07
"Please Australia, take note. We see you and you’re doing the same thing.",0.3182,0.161,0.0,0.839,2024-11-14_16-37-07
Elon musk needs to buy out youtube,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Give me more hot BS to take straight down my throat,0.2263,0.16,0.0,0.84,2024-11-14_16-37-07
I want a LE agency or bureau that specifically audits and investigates government spending.,0.0772,0.091,0.0,0.909,2024-11-14_16-37-07
"Choose life. Choose the planet you were born on, the one you’re standing on right now. Choose the oceans, the forests, the air you breathe, knowing they need our help now—not some distant planet in the void. Choose caring for Earth instead of dreaming about abandoning it. Choose real solutions here, instead of fantasies of life light-years away.

Choose a billionaire’s dream to escape, to build colonies on red deserts while the blue planet burns. Choose the allure of rockets, headlines, and billion-dollar visions, but ask yourself who really benefits. Choose watching as resources pour into Mars missions while entire cities here are left without clean water.

Choose a vision of humanity where only the wealthy, the powerful, the “innovators” get to imagine a future. Choose to ask yourself who gets to be on those ships, and what’s left for those who can’t afford a ticket. Choose knowing that the “Mars colony” sounds like survival, but for most, it’s just a distraction from problems no one wants to solve.

Choose wondering why we’re so eager to escape a world we haven’t finished building yet. Choose asking why we’re rushing to make a new home while ignoring the harm done to the one we have. Choose seeing Mars not as a dream, but as a reminder of what we’re leaving behind—the inequity, the pollution, the waste.

Or, choose life on Earth. Choose investing in solutions that heal instead of running from problems that we created. Choose valuing the planet that gave us everything before turning to one that offers nothing. Choose caring for all life, not just human survival. Choose staying, building, working together on this world until it’s a place worth keeping.

Choose life—not life on Mars, but a life we can all live, here, where we belong.",0.5585,0.129,0.102,0.769,2024-11-14_16-37-07
"DOGE 
What a tribute to the little dog, who knew thst furry face would reprosent great economic change 🐶",0.6249,0.177,0.0,0.823,2024-11-14_16-37-07
Oh no he didn’t just meme this😂,0.1779,0.225,0.243,0.533,2024-11-14_16-37-07
DONT GO AND DO TAXES THIS YEAR SERIOUSLY WHAT ARE THEY GOING TO DO TAKE OUT OF OUR SOCIAL SECURITY CHECK THATS GOING TO BE 500 DOLLARS A MONTH 😂😂😂,0.8555,0.248,0.139,0.614,2024-11-14_16-37-07
THIS IS WHY WE VOTED TRUMP AS A ONCE DEMOCRAT (RETIRED IN 2012 AFTER OBAMA SPENT A TRILLION IN BOMBS) BUT THERES NO REASON FIR 300+ FEDERAL AGENCY,-0.5993,0.0,0.126,0.874,2024-11-14_16-37-07
great to hear,0.6249,0.672,0.0,0.328,2024-11-14_16-37-07
Kinda feel all world is happy for America that Trump win,0.8176,0.455,0.0,0.545,2024-11-14_16-37-07
Dan Bongino in charge of the secret service,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Baron in that family photo. What a giant 🇺🇸🇺🇸🇺🇸,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Looking forward to Elon and Vivek leading DOGE.,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
"I don't think were all going to have enough popcorn for the all the entertainment going on........

And were still 60+ days away from when Trump actually takes office.",0.4215,0.091,0.0,0.909,2024-11-14_16-37-07
This is so unbelievably awesome!,0.7152,0.554,0.0,0.446,2024-11-14_16-37-07
"Absolutely phenomenal 😭😭😭. I can't wait to see what they have in store and how America is going to change. Long live liberty, justice, peace, and freedom🇺🇲",0.1868,0.211,0.196,0.593,2024-11-14_16-37-07
Trump is following what China did to its party before the huge uprise..They made it hard for corruption to thrive.,0.5574,0.214,0.06,0.726,2024-11-14_16-37-07
I hate Zionists and all their servants.,-0.5719,0.0,0.381,0.619,2024-11-14_16-37-07
They will prove that America is and has been in a ROBBERY System the last 90 years and no5 a tax system. And the thieves r ur suit and tie wearing politicians,-0.5106,0.0,0.096,0.904,2024-11-14_16-37-07
Shouldn't be hard starting with ILLIGAL IMMIGRANTS  that a conspiracy in the USA and all of Europe including UK.,-0.4774,0.06,0.157,0.784,2024-11-14_16-37-07
"“SANCTUARY STATES” are scared 😱 How are they gonna pay for the illegal immigrants hotels, foods, hospitals and debit cards",-0.9136,0.0,0.432,0.568,2024-11-14_16-37-07
"Elon is a great choice from Mr. President. Unlike Dems Elon has a self interest, literally bilkions of dollars, so he will be efficient making changes.",0.872,0.301,0.0,0.699,2024-11-14_16-37-07
"As a skeptic, I chuckle when I hear people cheer at ripping out 2 trillion of waste… They don’t realize many of their jobs / income sources are on the line. The Great Reset takes place, regardless of who you “elect”.",0.8481,0.206,0.039,0.755,2024-11-14_16-37-07
It's like having real life avengers 😭😭😭😭😭,-0.9186,0.076,0.47,0.455,2024-11-14_16-37-07
Trump hit the defrag button😂,0.4404,0.277,0.139,0.584,2024-11-14_16-37-07
Milei es un viejo loco😂,0.4404,0.277,0.139,0.584,2024-11-14_16-37-07
DOGE? this has to be a joke.,0.296,0.268,0.0,0.732,2024-11-14_16-37-07
