username,comment,polarity,sentiment
@smitasahay6890,Reply,0.0,neutral
,nice,0.6,positive
,Reply,0.0,neutral
2 months ago,one more way to find vertex by using differentiation method,0.5,positive
,Reply,0.0,neutral
,just in time no way,0.0,neutral
@judekirkcruz7177,Reply,0.0,neutral
,I’m in grade 7 and I can barely understand ,0.05,positive
,Reply,0.0,neutral
5 months ago (edited),24 replies,0.0,neutral
,,0.0,neutral
,Brilliant but does he have a bus to catch. He barely catches his breath.  FAR TOO FAST .,0.3125,positive
@kolmst,Reply,0.0,neutral
,,0.0,neutral
,,0.0,neutral
6 days ago,,0.0,neutral
